               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              6.0136,              5.6166,              4.2379,             0.03136,            0.057135,            0.021287,           0.0072256,                   0,                   0,                   0,            0.070037,           0.0033292,           0.0033292
                   1,              3.6662,              3.2538,              2.2143,             0.21762,             0.10011,            0.074665,            0.034536,                   0,                   0,                   0,            0.040024,           0.0066494,           0.0066494
                   2,              2.9261,              2.5879,              1.7093,             0.27009,             0.15604,             0.12063,             0.06075,                   0,                   0,                   0,           0.0099975,           0.0099563,           0.0099563
                   3,              2.6306,               2.302,               1.571,              0.2175,             0.17755,             0.14169,            0.074102,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,               2.428,              2.0773,              1.4788,               0.267,             0.19805,             0.17781,            0.096854,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,              2.2928,              1.9315,              1.4291,             0.26904,             0.22523,             0.19133,             0.10247,                   0,                   0,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,              2.2189,              1.8384,              1.3966,             0.29453,             0.24021,             0.20989,             0.11514,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   7,              2.1495,              1.7592,               1.375,             0.33328,             0.24086,             0.22826,             0.12785,                   0,                   0,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,              2.1107,              1.7091,              1.3587,             0.34351,              0.2695,             0.25233,             0.14014,                   0,                   0,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,              2.0548,              1.6317,              1.3405,             0.35088,             0.26945,             0.24943,             0.14173,                   0,                   0,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,              2.0206,              1.6007,              1.3248,             0.35845,             0.27784,             0.26549,             0.15026,                   0,                   0,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,              1.9864,              1.5612,              1.3223,             0.37206,             0.29509,              0.2777,             0.15905,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                  12,              1.9653,              1.5364,              1.3097,             0.38064,             0.29279,              0.2827,             0.16377,                   0,                   0,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,               1.939,              1.5024,              1.2974,             0.39524,             0.30289,             0.29265,             0.16686,                   0,                   0,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,              1.9302,              1.4889,              1.2962,             0.40701,             0.31557,             0.30343,              0.1751,                   0,                   0,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,              1.8948,              1.4586,              1.2928,             0.40233,             0.32088,             0.30564,             0.17488,                   0,                   0,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,              1.8882,               1.438,              1.2804,             0.40677,             0.32893,               0.315,             0.18305,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                  17,              1.8647,              1.4229,               1.279,             0.43272,             0.32856,             0.32033,             0.18588,                   0,                   0,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,              1.8527,               1.397,              1.2743,             0.44456,             0.33491,              0.3267,              0.1894,                   0,                   0,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,              1.8375,              1.3913,              1.2731,             0.44018,             0.33554,             0.32964,             0.19266,                   0,                   0,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,              1.8409,              1.3802,              1.2657,             0.43626,             0.33735,             0.33009,             0.19355,                   0,                   0,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,              1.8364,              1.3689,              1.2643,             0.43266,             0.33854,              0.3344,             0.19814,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  22,              1.8179,              1.3582,              1.2616,             0.44409,             0.34552,             0.34285,             0.20239,                   0,                   0,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,                 1.8,              1.3417,              1.2523,             0.44848,             0.34833,             0.34781,             0.20454,                   0,                   0,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,              1.8008,               1.341,              1.2585,             0.45529,             0.35095,             0.35197,             0.20761,                   0,                   0,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,              1.7931,              1.3289,              1.2522,             0.44053,             0.35124,             0.34722,             0.20652,                   0,                   0,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,              1.7816,              1.3108,              1.2465,             0.46681,             0.35813,             0.35684,              0.2122,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  27,              1.7771,              1.3021,              1.2443,              0.4699,             0.35821,             0.36166,             0.21537,                   0,                   0,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,               1.762,              1.2956,              1.2484,             0.48027,             0.35344,             0.36372,             0.21773,                   0,                   0,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,               1.762,               1.292,              1.2395,             0.47679,             0.35337,             0.36577,             0.21782,                   0,                   0,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,              1.7545,              1.2832,              1.2388,             0.47667,             0.36335,             0.36884,             0.21845,                   0,                   0,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,              1.7508,              1.2797,              1.2403,             0.47529,              0.3671,             0.37211,               0.222,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  32,              1.7392,               1.266,               1.238,             0.48193,             0.35829,             0.37133,             0.22148,                   0,                   0,                   0,           0.0093862,           0.0093862,           0.0093862
                  33,              1.7279,              1.2566,              1.2318,             0.48877,             0.37556,             0.37747,             0.22479,                   0,                   0,                   0,           0.0093664,           0.0093664,           0.0093664
                  34,              1.7329,              1.2527,              1.2348,             0.47439,             0.37227,             0.37563,              0.2243,                   0,                   0,                   0,           0.0093466,           0.0093466,           0.0093466
                  35,               1.734,              1.2595,              1.2351,             0.49752,             0.36853,              0.3786,             0.22641,                   0,                   0,                   0,           0.0093268,           0.0093268,           0.0093268
                  36,              1.7376,              1.2501,              1.2311,             0.48992,             0.37726,             0.38463,             0.22989,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                  37,              1.7223,              1.2393,              1.2306,             0.49725,             0.37484,             0.38546,             0.23019,                   0,                   0,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,              1.7086,              1.2286,              1.2289,             0.49981,             0.37376,             0.38342,             0.22956,                   0,                   0,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,              1.7193,              1.2355,                1.23,             0.49259,              0.3725,             0.38687,              0.2315,                   0,                   0,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,               1.703,               1.223,              1.2265,             0.49959,              0.3792,             0.38921,             0.23392,                   0,                   0,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,              1.7266,               1.225,              1.2219,              0.4898,             0.38299,             0.39393,             0.23684,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  42,              1.7335,              1.2314,              1.2177,             0.50458,             0.37819,              0.3939,             0.23854,                   0,                   0,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,              1.7345,              1.2334,              1.2217,             0.49883,             0.38677,             0.39852,             0.24158,                   0,                   0,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,              1.7299,              1.2372,              1.2217,             0.49969,             0.38509,             0.39569,             0.23954,                   0,                   0,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,              1.7313,              1.2388,              1.2176,             0.50199,             0.38947,             0.40011,             0.24146,                   0,                   0,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,              1.7191,              1.2228,              1.2124,             0.50698,             0.39194,             0.40491,             0.24443,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  47,              1.7164,              1.2225,              1.2094,             0.50698,             0.38202,             0.39977,             0.24052,                   0,                   0,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,              1.7162,              1.2205,              1.2054,             0.50675,             0.38883,             0.40243,             0.24146,                   0,                   0,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,              1.7132,              1.2151,              1.2084,             0.50381,              0.3961,             0.40494,             0.24454,                   0,                   0,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,              1.7031,              1.2011,              1.2061,             0.51763,             0.38671,             0.40562,             0.24613,                   0,                   0,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,              1.6894,              1.1972,              1.2028,             0.50906,             0.39334,             0.40883,              0.2484,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  52,              1.6935,              1.1987,               1.201,             0.51483,              0.3981,              0.4107,             0.24894,                   0,                   0,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,              1.6864,              1.1886,               1.199,             0.52159,             0.39799,             0.41227,             0.25055,                   0,                   0,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,              1.6947,              1.1962,              1.2002,             0.52454,             0.39051,             0.41026,             0.24939,                   0,                   0,                   0,           0.0089506,           0.0089506,           0.0089506
