               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              6.1122,              5.8162,              4.3154,              0.1198,            0.020174,             0.01148,           0.0035023,                   0,                   0,                   0,            0.070037,           0.0033292,           0.0033292
                   1,              3.9283,              3.5711,               2.302,             0.19998,            0.079496,            0.059082,             0.02578,                   0,                   0,                   0,            0.040024,           0.0066494,           0.0066494
                   2,              3.2185,              2.9443,              1.8431,             0.19671,             0.11507,            0.078525,            0.036544,                   0,                   0,                   0,           0.0099975,           0.0099563,           0.0099563
                   3,              2.9224,              2.6715,              1.6933,             0.26073,             0.13632,             0.10163,            0.050455,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,                2.74,              2.4728,              1.5972,             0.18347,             0.14998,             0.11435,            0.057521,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,              2.6088,              2.3415,              1.5439,             0.19165,             0.16233,             0.12501,              0.0636,                   0,                   0,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,              2.5437,              2.2543,              1.5111,             0.21783,             0.17367,             0.13703,            0.072483,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   7,               2.476,              2.1738,              1.4874,             0.22632,             0.18263,             0.14957,            0.079815,                   0,                   0,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,              2.4436,              2.1268,              1.4704,             0.23291,             0.19078,             0.15757,            0.083087,                   0,                   0,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,              2.3853,              2.0512,              1.4517,             0.24416,             0.20376,             0.16601,            0.090084,                   0,                   0,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,              2.3506,              2.0099,              1.4331,             0.24457,               0.209,             0.17364,             0.09164,                   0,                   0,                   0,           0.0098218,           0.0098218,           0.0098218
